,date,c13,o18
598,1795.58,-25.76,25.55
599,1795.75,-25.87,25.42
600,1795.92,-25.85,25.63
601,1796.08,-25.57,24.92
602,1796.25,-25.29,25.0
603,1796.42,-25.36,25.08
604,1797.08,-24.79,25.71
605,1797.25,-24.83,25.12
606,1797.42,-25.22,24.42
607,1797.58,-25.18,24.22
608,1797.75,-25.25,24.02
609,1797.92,-25.34,25.15
610,1798.13,-25.76,25.81
611,1798.38,-25.73,26.08
612,1798.63,-25.55,26.54
613,1798.88,-25.81,26.26
614,1799.13,-25.28,26.74
615,1799.38,-25.63,25.76
616,1799.63,-25.89,24.06
617,1799.88,-25.76,24.5
618,1800.1,-25.75,24.21
619,1800.3,-25.82,23.06
620,1800.5,-14.15,22.22
621,1800.7,-25.78,23.56
622,1800.9,-25.67,23.84
623,1801.1,-25.98,23.7
624,1801.3,-26.22,22.97
625,1801.5,-25.84,24.24
626,1801.7,-26.37,22.6
627,1801.9,-26.5,22.26
628,1802.1,-25.77,24.33
629,1802.3,-25.48,25.21
630,1802.5,-25.55,25.43
631,1802.7,-25.86,25.2
632,1802.9,-26.26,24.57
633,1803.1,-25.79,25.16
634,1803.3,-25.69,24.72
635,1803.5,-25.76,24.9
636,1803.7,-26.03,24.35
637,1803.9,-25.97,24.79
638,1804.08,-26.12,24.43
639,1804.25,-25.49,25.05
640,1804.42,-25.18,25.93
641,1804.58,-25.52,25.17
642,1804.75,-25.9,24.76
643,1804.92,-25.79,25.54
644,1805.08,-25.63,25.97
645,1805.25,-25.71,24.89
646,1805.58,-25.48,24.86
647,1805.75,-25.63,25.05
648,1805.92,-25.42,25.43
649,1806.08,-24.73,25.92
650,1806.25,-25.13,25.63
651,1806.42,-25.09,26.23
652,1806.58,-25.51,25.37
653,1806.75,-25.91,24.8
654,1806.92,-25.89,24.93
655,1807.1,-25.91,24.54
656,1807.3,-24.9,25.21
657,1807.5,-24.86,25.29
658,1807.7,-25.26,25.44
659,1807.9,-25.24,25.98
660,1808.08,-25.22,26.3
661,1808.25,-25.33,25.0
662,1808.42,-24.62,25.25
663,1808.58,-24.11,26.28
664,1808.75,-24.44,25.54
665,1808.92,-25.0,23.93
666,1809.08,-24.57,26.41
667,1809.25,-24.42,25.79
668,1809.42,-24.42,25.62
669,1809.58,-24.39,25.52
670,1809.75,-24.39,25.85
671,1809.92,-24.86,25.6
672,1810.13,-25.29,24.72
673,1810.38,-24.87,26.56
674,1810.63,-25.25,24.28
675,1810.88,-25.34,24.62
676,1811.13,-25.23,25.16
677,1811.38,-25.33,24.44
678,1811.63,-24.88,25.15
679,1811.88,-24.78,25.28
680,1812.1,-25.01,25.31
681,1812.3,-24.95,24.23
