date,c13,o18
1893.17,-24.62,28.16
1893.5,-24.52,27.85
1893.83,-24.24,28.3
1894.08,-24.83,28.14
1894.25,-24.73,28.73
1894.42,-24.51,27.16
1894.58,-24.54,27.66
1894.75,-24.43,27.16
1894.92,-24.62,27.16
1895.08,-24.83,26.97
1895.25,-24.22,26.75
1895.42,-24.61,26.58
1895.58,-24.72,26.17
1895.75,-24.82,26.84
1895.92,-24.58,29.54
1896.08,-24.41,29.8
1896.25,-23.89,28.51
1896.42,-24.46,27.89
1896.58,-25.0,29.08
1896.75,-25.37,28.1
1896.92,-25.52,29.32
1897.08,-25.74,28.85
1897.25,-25.71,28.62
1897.42,-25.79,27.03
1897.58,-26.44,24.23
1897.75,-25.84,26.07
1897.92,-25.82,26.54
1898.08,-26.23,26.87
1898.25,-26.04,28.09
1898.42,-26.71,26.81
1898.58,-26.75,26.54
1898.75,-26.4,27.7
1898.92,-26.18,27.71
1899.08,-26.16,28.16
1899.25,-26.74,26.09
1899.42,-26.77,26.71
1899.58,-26.81,27.27
1899.75,-26.99,26.96
1899.92,-26.88,27.71
1900.08,-26.58,27.66
1900.25,-26.14,27.71
1900.42,-26.45,26.54
1900.58,-26.27,27.35
1900.75,-26.24,26.61
1900.92,-26.56,26.43
1901.08,-25.82,26.73
1901.25,-25.59,26.95
1901.42,-25.69,27.15
1901.58,-25.96,26.77
1901.75,-25.76,28.49
1901.92,-25.54,28.83
1902.08,-25.19,27.96
1902.25,-25.71,26.95
1902.42,-26.54,27.41
1902.58,-26.73,27.0
1902.75,-26.73,26.45
1902.92,-26.79,26.04
1903.08,-26.07,28.6
1903.25,-25.54,27.31
1903.42,-25.32,27.05
1903.58,-24.96,28.08
1903.75,-24.9,28.02
1903.92,-25.23,27.35
1904.08,-25.59,27.72
1904.25,-25.79,27.71
1904.42,-25.96,27.75
1904.58,-25.53,27.83
1904.75,-25.5,28.48
1904.92,-25.54,28.38
1905.1,-26.17,27.93
1905.3,-26.43,27.79
1905.5,-25.73,28.61
1905.7,-25.6,28.64
1905.9,-26.34,27.4
1906.08,-26.47,27.61
1906.25,-26.93,27.12
1906.42,-26.52,27.18
1906.58,-25.87,26.93
1906.75,-25.56,27.94
1906.92,-26.21,26.84
1907.17,-26.07,26.68
1907.5,-26.15,27.39
1907.83,-25.13,27.57
1908.1,-24.52,28.0
1908.3,-24.65,27.95
1908.5,-24.34,27.52
1908.7,-24.02,27.62
1908.9,-24.23,27.04
1909.08,-24.69,26.88
1909.25,-25.15,26.35
1909.42,-24.79,27.42
1909.58,-24.33,27.7
1909.75,-24.31,27.28
1909.92,-24.26,27.01
1910.08,-25.6,24.57
1910.25,-24.66,26.86
1910.42,-24.8,26.63
1910.58,-24.48,26.77
1910.75,-24.27,26.76
1910.92,-23.69,29.58
1911.08,-23.94,29.19
1911.25,-24.18,27.48
1911.42,-24.36,28.04
1911.58,-24.93,27.17
1911.75,-24.46,28.22
1911.92,-24.31,29.0
1912.08,-24.5,29.39
1912.25,-24.58,29.26
1912.42,-24.33,29.55
1912.58,-24.94,28.01
1912.75,-24.57,28.16
1912.92,-25.39,25.18
1913.06,-25.84,24.8
1913.19,-25.29,26.34
1913.31,-24.88,26.48
1913.44,-25.27,27.05
1913.56,-24.94,28.66
1913.69,-25.16,28.75
1913.81,-25.45,27.89
1913.94,-25.18,29.19
1914.13,-25.69,28.64
1914.38,-25.43,29.75
1914.63,-24.62,29.73
1914.88,-24.92,27.72
1915.08,-24.47,28.59
1915.25,-24.2,27.9
1915.42,-24.36,28.64
1915.58,-24.46,27.91
1915.75,-24.29,29.85
1915.92,-24.97,28.86
1916.08,-25.85,28.72
1916.25,-24.88,28.58
1916.42,-24.78,28.81
1916.58,-23.78,27.02
1916.75,-24.37,26.68
1916.92,-25.31,25.48
1917.08,-25.47,26.02
1917.25,-24.92,26.85
1917.42,-24.25,27.06
1917.58,-24.21,27.84
1917.75,-24.5,27.73
1917.92,-24.98,26.77
1918.1,-24.88,27.7
1918.3,-24.34,27.6
1918.5,-23.87,28.04
1918.7,-24.68,27.02
1918.9,-24.61,27.84
1919.08,-25.05,26.59
1919.25,-25.13,26.55
1919.42,-24.27,26.31
1919.58,-23.95,26.47
1919.75,-24.62,26.65
1919.92,-25.09,26.06
1920.08,-25.17,26.73
1920.25,-25.0,27.25
1920.42,-23.87,27.7
1920.58,-24.12,26.11
1920.75,-24.63,25.91
1920.92,-24.85,25.47
1921.08,-25.41,26.29
1921.25,-24.08,27.45
1921.42,-23.75,27.63
1921.58,-23.8,27.5
1921.75,-24.19,26.76
1921.92,-24.84,26.34
1922.1,-24.77,27.11
1922.3,-24.69,27.3
1922.5,-24.66,26.11
1922.7,-24.54,26.48
1922.9,-24.53,26.64
1923.13,-25.28,27.87
1923.38,-25.59,26.44
1923.63,-25.06,25.96
1923.88,-25.57,25.63
1924.08,-25.72,25.27
1924.25,-25.97,25.12
1924.42,-25.19,26.75
1924.58,-24.54,27.53
1924.75,-24.87,25.73
1924.92,-24.44,27.37
1925.1,-25.3,24.97
1925.3,-25.25,25.77
1925.5,-25.12,25.26
1925.7,-24.54,26.59
1925.9,-25.23,26.54
1926.08,-25.73,26.02
1926.25,-25.68,25.67
1926.42,-25.67,24.82
1926.58,-25.42,25.45
1926.75,-25.95,25.38
1926.92,-25.45,26.1
1927.08,-26.93,23.44
1927.25,-26.25,24.42
1927.42,-25.08,26.13
1927.58,-25.88,24.81
1927.75,-25.51,25.43
1927.92,-25.61,24.94
1928.08,-26.15,23.92
1928.25,-25.99,24.21
1928.42,-25.82,24.81
1928.58,-26.22,24.16
1928.75,-25.45,25.38
1928.92,-25.22,25.5
1929.08,-25.36,25.06
1929.25,-25.61,24.93
1929.42,-25.31,25.19
1929.58,-24.72,26.34
1929.75,-25.08,25.05
1929.92,-25.24,26.21
1930.08,-25.7,26.95
1930.58,-25.77,26.5
1931.1,-25.63,26.15
1931.3,-25.89,26.05
1931.5,-24.49,27.05
1931.7,-24.11,27.41
1931.9,-24.9,26.14
1932.08,-26.04,25.25
1932.25,-26.17,25.06
1932.42,-25.82,24.86
1932.58,-24.88,26.65
1932.75,-24.8,26.65
1932.92,-25.2,25.88
1933.25,-26.0,24.56
1933.42,-25.87,25.92
1933.58,-25.03,25.02
1933.75,-25.1,25.09
1933.92,-25.29,25.0
1933.92,-25.44,25.49
1934.08,-26.34,23.04
1934.25,-26.09,25.22
1934.42,-25.59,26.19
1934.58,-25.09,26.71
1934.92,-25.76,26.45
1935.08,-25.84,26.2
1935.25,-25.76,26.98
1935.42,-26.22,25.53
1935.58,-26.21,26.32
1935.75,-24.95,25.83
1935.92,-25.41,25.15
1936.08,-24.87,26.46
1936.25,-24.76,27.14
1936.25,-26.17,27.96
1936.42,-25.01,28.39
1936.75,-25.29,26.91
1936.92,-25.97,26.18
1937.08,-26.07,27.07
